spec,loc,num,aspect_ratio,hue_mean,redness_purity,brightness_mean,brown_dominance,color_cov,red_intensity,red_coverage,eye_cloudiness,shine_coverage,shine_intensity,body_color_b,species
TILA,CFM,17,0.358560091,0.27,135.94,102.6,0.0273,0.308,0.258,0.0088,1.1922,0.012,230.77,0.9106,2
TILA,CFM,18,0.369553377,178.77,149.88,104.54,0.0169,0.1898,0.1999,0.0065,0.8479,0.011,243.07,2.5049,2
TILA,CFM,19,0.325171143,179.48,150.05,102.5,0.0007,0.2108,0.1393,0.0001,1.0855,0.0252,234.58,4.5047,2
TILA,CFM,20,0.354456019,1.07,143.49,111.64,0.0709,0.2452,0.2029,0.0085,0.9215,0.015,240.8,2.6379,2
TILA,CFM,21,0.381753313,177.98,120.97,130.07,0.0014,0.2329,0.0376,0.0001,1.3768,0.0196,234.8,10.7389,2
TILA,CFM,22,0.375880759,177.26,135.3,120.64,0.0052,0.1891,0.003,0,1.1939,0.0166,232.45,8.3372,2
TILA,CFM,23,0.388055556,1.64,141.42,110.24,0.0898,0.2604,0.1354,0.0062,1.3996,0.0115,231.86,12.6021,2
TILA,CFM,24,0.363268608,1.55,147.61,125.55,0.08,0.299,0.1178,0.0054,1.3051,0.0183,227.52,2.9884,2
TILA,CFM,25,0.362889984,178.82,126.28,83.69,0.005,0.3053,-0.0029,0.0007,1.5576,0.0189,231.24,7.2462,2
TILA,CFM,26,0.337002096,178.37,147.67,120.73,0.001,0.2205,0.1492,0.0021,1.0124,0.0089,242.66,-3.9693,2
TILA,CFM,27,0.35971588,177.85,146.4,91.62,0.0009,0.2318,0.2398,0.0061,1.0466,0.011,242.24,-5.0658,2
TILA,CFM,28,0.305555556,176.3,167.3,114.06,0,0.1498,0.1442,0.0034,1.0005,0.0069,238.86,-3.6388,2
TILA,CFM,29,0.324522761,179.61,149.56,122.64,0.0179,0.2545,0.0635,0.0001,1.6534,0.016,234.24,-0.5178,2
TILA,CFM,30,0.376114082,179.1,140.25,147.04,0.0021,0.267,0.2,0.0057,1.3214,0.0084,237.05,-1.7135,2
TILA,CFM,31,0.331531532,179.08,135.2,111.16,0.0087,0.2278,0.1351,0.007,1.0922,0.0141,229.95,8.8276,2
TILA,CFM,32,0.345091123,177.28,150.34,77.01,0.0077,0.1862,0.1357,0.005,0.7578,0.0028,235.44,11.8276,2
TILA,CFM,33,0.343543544,1.79,140.92,99.6,0.0706,0.2123,0.0853,0.0028,1.1075,0.0092,220.14,5.6347,2
TILA,CFM,34,0.335470085,179.84,160.85,85.84,0.0162,0.2398,0.1295,0.0052,1.1755,0.005,241.64,4.0716,2
TILA,CFM,35,0.342190016,179.96,158.99,65.61,0.0006,0.1545,0.0034,0,1.174,0.007,241.48,9.053,2
TILA,CFM,36,0.363482385,178.72,159.51,83.8,0.0032,0.169,0.2268,0.0063,0.8914,0.0213,245.57,-4.9425,2
TILA,CFM,37,0.387931034,0.16,141.89,80.61,0.0063,0.2181,0.3217,0.012,0.9906,0.0199,237.47,-4.1829,2
TILA,CFM,38,0.366729089,179.72,138.66,93.87,0.0026,0.24,0.2566,0.0002,1.0806,0.0123,236.45,-1.6852,2
TILA,CFM,39,0.363933452,177.75,161.94,105.89,0.0005,0.1634,0.3269,0.0084,0.9834,0.0147,248.32,-8.099,2
TILA,CFM,40,0.390740741,178.15,158.77,97.67,0.0015,0.1475,0.1439,0.001,0.7751,0.011,244.31,0.4439,2
TILA,CFM,41,0.336206897,176.36,152.53,90.38,0.0105,0.2098,0.1396,0.0049,1.1475,0.0121,240.7,9.811,2
TILA,CFM,42,0.363933452,176.55,149.23,102.68,0.0075,0.196,0.1041,0.0053,0.8599,0.0212,242.27,9.0372,2
TILA,CFM,43,0.386186186,177.68,146.12,93.75,0.0074,0.214,0.2419,0.0098,0.9902,0.025,239.15,11.5415,2
TILA,CFM,44,0.355311355,177.17,155.8,83.97,0.0078,0.1429,0.0887,0.003,1.2381,0.0198,241.09,10.5171,2
TILA,CFM,45,0.346104725,177.59,146.34,92.98,0.0001,0.1551,0.0697,0.0036,0.9559,0.0226,243.63,13.7389,2
TILA,CFM,46,0.364680323,177.47,181.95,82.71,0,0.1585,0.1503,0.005,0.9873,0.0117,234.95,-5.5654,2
TILA,CFM,47,0.339819515,178.85,162.01,105.61,0.0006,0.1766,0.0376,0.001,1.113,0.0155,245.12,-5.4488,2
TILA,CFM,48,0.383760684,177.89,159.55,109.71,0.0001,0.1738,0.0597,0.0003,0.7608,0.0091,240.59,-3.1094,2
TILA,CFM,49,0.367924528,178.11,171.18,85.11,0.0037,0.1341,0.1088,0.0041,1.0277,0.0095,244.09,-4.269,2
TILA,CFM,50,0.363720074,178.63,165.75,83.9,0.0105,0.1554,0.1732,0.0063,0.9634,0.0113,240.73,-3.9286,2
TILA,CFM,51,0.360809179,179.11,182.99,90.95,0.0003,0.1476,0.1208,0.0044,0.6859,0.0198,239.21,1.7977,2
TILA,CFM,52,0.370870871,177.48,144.77,108.28,0.0006,0.1871,0.1683,0.0056,1.3948,0.0102,238.69,5.4385,2
TILA,CFM,53,0.388185654,179.27,149.48,99.63,0.0006,0.1864,0.3295,0.0087,1.5898,0.0097,238.62,-3.9241,2
TILA,CFM,54,0.326992754,178.89,164.07,105.11,0,0.1406,0.3469,0.0112,0.9312,0.0086,240.13,-0.8257,2
TILA,CFM,55,0.352049911,177.46,146.2,107.79,0.0001,0.1729,0.2096,0.0057,1.1234,0.0083,236.28,7.2449,2
TILA,CFM,56,0.320987654,176.13,152.22,75.33,0.0026,0.2232,0.5346,0.0218,0.914,0.0166,245.7,14.2456,2
TILA,CFM,57,0.335403727,177.62,153.59,66.58,0.021,0.1757,0.2919,0.0116,0.7567,0.0298,244.38,14.035,2
TILA,CFM,58,0.322409488,177.15,160.31,102.7,0.009,0.243,0.2034,0.0062,0.7601,0.0134,233.89,2.608,2
TILA,CFM,59,0.337654321,179.94,157.66,98.24,0.0007,0.2027,0.2327,0.0055,0.9619,0.0181,235.44,0.4439,2
TILA,CFM,60,0.364864865,177.04,156.39,121.54,0.0003,0.1736,0.2803,0.0016,0.9567,0.0268,229.45,1.3743,2
TILA,NFP,1,0.322611164,179.48,145.19,119.45,0.002,0.2406,-0.0283,0.0022,0.6104,0.0212,244.78,5.3632,2
TILA,NFP,2,0.353726708,0.78,141.01,114.04,0.0231,0.2703,0.0929,0.0028,0.7709,0.0129,240.95,3.7542,2
TILA,NFP,3,0.357564576,1.02,140.53,142.4,0.0066,0.2156,0.1108,0.0046,0.7053,0.019,240.56,5.6908,2
TILA,NFP,4,0.363412055,1.03,176.22,140.15,0.0085,0.212,0.2035,0.003,0.8576,0.0061,229.6,-15.8254,2
TILA,NFP,5,0.390588235,176.86,140.73,83.92,0.0018,0.2827,0.3596,0.004,1.0571,0.0047,245.66,-16.5808,2
TILA,NFP,6,0.370766488,0.71,179.81,105.04,0.0092,0.2587,0.7691,0.0283,0.9546,0.0074,246.51,-27.303,2
TILA,NFP,7,0.361508453,2.2,157.42,106.26,0.0269,0.2192,0.1091,0,1.2822,0.0069,245.73,-11.0903,2
TILA,NFP,8,0.407279029,178.22,144.25,89.74,0.0198,0.2673,0.2558,0.0043,0.9392,0.0038,246.34,-16.5488,2
TILA,NFP,9,0.365308804,179.51,174.33,118.19,0.0005,0.2232,0.2667,0.0005,1.0398,0.0117,243,-17.0091,2
TILA,NFP,10,0.390017825,175.51,139.54,107.8,0.0005,0.2453,0.1118,0.0006,1.1007,0.0044,244.88,-16.7829,2
TILA,NFP,11,0.37973877,178.43,162.47,100.75,0.0005,0.2516,0.2365,0.002,0.7526,0.0037,229.15,-18.0075,2
TILA,NFP,12,0.371616079,178.58,174.5,106.67,0.0005,0.2149,0.4092,0.0008,1.2309,0.0021,238.97,-13.2208,2
TILA,NFP,13,0.34736065,177.94,145.18,118.09,0.0068,0.2654,0.7765,0.0323,0.8557,0.0048,232.42,-23.71,2
TILA,NFP,14,0.368807339,178.36,129.1,117.48,0.0017,0.2844,0.3919,0.0203,0.7284,0.0021,247.67,-25.7577,2
TILA,NFP,15,0.355932203,176.35,132.61,123.42,0.0005,0.2465,0.3292,0.0165,0.8267,0.0013,230.13,-22.1052,2
TILA,NFP,16,0.359707215,3.44,211.73,54.25,0.009,0.1832,0.0313,0.0003,0.9274,0.0182,244.31,3.3138,2
TILA,NFP,17,0.374071016,1.03,208.08,114.91,0.0145,0.215,0.1279,0.0018,0.8076,0.0174,238.63,3.4682,2
TILA,NFP,18,0.419014085,1.33,157.09,118.65,0.0005,0.1851,0.0144,0.001,0.9216,0.0157,244.61,4.2393,2
TILA,NFP,19,0.395135707,1.86,167.26,134.09,0.0355,0.283,-0.0352,0.0029,0.7529,0.0182,243.6,2.0297,2
TILA,NFP,20,0.367527675,2.6,172.82,160.88,0.0069,0.189,0.0353,0,0.7133,0.0213,243.36,3.916,2
TILA,NFP,21,0.364232978,1.42,170.97,122.62,0.011,0.2556,0.2085,0.0034,0.72,0.0166,241.56,3.4805,2
TILA,NFP,22,0.383266687,173.29,145.87,83.38,0.0001,0.2458,-0.0203,0.0009,0.8569,0.0062,240.16,3.7949,2
TILA,NFP,23,0.427069645,174.66,131.31,140.42,0.0001,0.2708,0.1476,0.0056,0.6244,0.0082,240.22,4.2368,2
TILA,NFP,24,0.321485751,177.87,170.68,105.15,0.0003,0.1957,0.0703,0.0031,0.9877,0.0128,239.06,2.89,2
TILA,NFP,25,0.393387314,179.01,131.88,136.27,0.002,0.2515,-0.0235,0.0011,0.6669,0.0124,239.94,2.7937,2
TILA,NFP,26,0.380128857,3.02,130.93,108.61,0.0564,0.2897,0.0323,0.0016,0.9229,0.007,243.41,2.6571,2
TILA,NFP,27,0.437070938,179.46,155.41,119.28,0.0014,0.2206,0.1106,0.0039,0.6633,0.0084,240.38,2.6908,2
TILA,NFP,28,0.364266843,5.68,197.46,62.37,0.0536,0.1929,0.0479,0.0011,0.8127,0.0097,243.11,2.2178,2
TILA,NFP,29,0.464019851,2.38,167.32,112.41,0.0039,0.185,0.1265,0.0023,0.7295,0.007,242.46,3.0351,2
TILA,NFP,30,0.372306717,179.14,161.7,86.35,0.0002,0.2406,-0.028,0.0013,0.815,0.0122,243.64,3.5054,2
TILA,PWM,1,0.44659852,1.49,108.51,76.79,0.1192,0.2292,0.144,0.001,1.0075,0.0179,236.17,-1.5047,2
TILA,PWM,2,0.355870896,5.61,132.05,100.61,0.1009,0.2024,0.0632,0.002,1.1313,0.0055,234.87,-0.4455,2
TILA,PWM,3,0.338517079,6.41,157.18,119.57,0.0419,0.1483,0.2336,0,0.9859,0.0117,230.39,-1.7562,2
TILA,PWM,4,0.344341039,7.69,157.14,82.73,0.2541,0.1825,0.1067,0,0.7211,0.0071,229.24,-0.68,2
TILA,PWM,5,0.341805666,6.29,161.43,103.45,0.2083,0.1641,0.0269,0,1.0957,0.0118,235.82,-3.6588,2
TILA,PWM,6,0.335451416,3.71,161.98,81.88,0.1228,0.201,0.0364,0.0014,1.1792,0.0082,230.33,-0.8071,2
TILA,PWM,7,0.387662856,5.28,161.25,71.71,0.0419,0.1588,0.1044,0.0014,0.5914,0.0105,232.17,1.2591,2
TILA,PWM,8,0.35734072,5.94,136.82,83.2,0.3259,0.2318,0.0544,0.0014,1.2323,0.0104,228.71,-0.9492,2
TILA,PWM,10,0.364803195,9.3,147.52,89.5,0.4734,0.266,0.1888,0.0033,0.6172,0.0096,229.07,1.0206,2
TILA,PWM,11,0.357901513,6.12,136.43,110.71,0.0747,0.2086,0.0554,0,1.2066,0.011,230.29,-5.5635,2
TILA,PWM,12,0.366290836,4.34,147.8,78.25,0.1659,0.2044,0.0241,0.0006,1.5162,0.0081,235.31,-0.7484,2
TILA,PWM,13,0.3585,6.14,152.55,102.84,0.063,0.1901,0.0578,0.0024,0.9127,0.0072,234.59,-0.8647,2
TILA,PWM,14,0.356182441,5.46,152.94,83.52,0.2145,0.2147,0.1137,0.0047,1.1628,0.0054,230.26,-2.9606,2
TILA,PWM,15,0.363404038,5.38,154.9,111.56,0.097,0.1733,0.1099,0.0013,1.1655,0.0079,232.32,0.8477,2
TILA,PWM,16,0.347704082,6,191.15,111.93,0.0557,0.148,0.0433,0,1.396,0.0087,232.14,-1.2477,2
TILA,PWM,17,0.354514165,5.12,150.1,109.67,0.0928,0.2041,0.0028,0,1.4593,0.015,236.52,-2.9297,2
TILA,PWM,18,0.373212722,4.52,147.62,81.28,0.1714,0.1724,0.0288,0.0003,1.3717,0.0114,238.14,-0.9745,2
TILA,PWM,19,0.350961538,7.01,169.51,127.29,0.037,0.1483,0.0665,0,1.2204,0.008,232.7,-0.569,2
TILA,PWM,20,0.363037249,4.79,150.9,91.16,0.145,0.1943,0.0693,0.0005,0.9963,0.0093,233.74,-3.5305,2
TILA,PWM,21,0.334690761,3.22,137.1,79.18,0.0708,0.2351,0.0149,0,1.1307,0.0075,229.35,-2.04,2
TILA,PWM,22,0.346205417,6.37,158.54,106.86,0.0643,0.171,0.0254,0.0002,1.4469,0.0091,232.35,-0.5653,2
TILA,PWM,23,0.450726979,6.97,153.4,107.27,0.2205,0.214,0.0501,0,1.2111,0.0063,235.93,-0.483,2
TILA,PWM,24,0.375069406,6.73,158.67,80.35,0.2261,0.1764,-0.0518,0,1.3674,0.0073,232.9,-0.0387,2
TILA,PWM,25,0.329408818,5.37,141.97,126.73,0.0452,0.219,0.0967,0,1.5815,0.0088,237.83,-2.9851,2
TILA,PWM,26,0.358701582,4.89,118.92,117.25,0.1059,0.2571,0.0885,0,1.0571,0.0109,231.22,-3.409,2
TILA,PWM,27,0.388161484,1.6,148.58,108.36,0.0266,0.1312,0.0229,0.0001,1.0667,0.0123,239,-0.4171,2
TILA,PWM,28,0.354716024,9.21,171.56,108.2,0.376,0.2037,0.0724,0,1.4993,0.0071,233.55,-2.0889,2
TILA,PWM,29,0.350624661,6.19,167.35,96.59,0.0829,0.159,0.1554,0.0021,1.2832,0.0084,228.74,0.7093,2
TILA,PWM,30,0.361380491,6.38,166.68,74.32,0.1113,0.1784,0.0697,0.0005,1.0543,0.0129,233.38,-0.7627,2
TILA,PWM,31,0.363296813,7.58,165.02,105.09,0.2701,0.2108,0.0186,0,1.3887,0.0121,233.03,-3.7724,2
TILA,PWM,32,0.368287096,6.73,180.28,107.53,0.0421,0.1663,0.0176,0,1.2536,0.0052,230.76,-1.5407,2
TILA,PWM,33,0.398018167,2.53,163.59,137.25,0.0373,0.2796,0.0262,0.0007,0.9708,0.016,235.69,-0.9985,2
TILA,PWM,34,0.35107228,179.22,160.8,125.48,0.0008,0.1891,0.0173,0,1.1636,0.0433,232.17,-1.9751,2
TILA,PWM,35,0.394158473,2.06,165.02,154.76,0.054,0.2089,0.0952,0.0013,1.0346,0.0124,245.89,-3.8009,2
TILA,PWM,36,0.449406444,2.11,185.59,72.56,0.0183,0.2023,0.1962,0.0067,1.1136,0.0155,234.98,-1.6765,2
TILA,PWM,37,0.362403616,1.28,147.76,142,0.0229,0.2635,0.1703,0.005,0.7706,0.0099,243.06,-3.0001,2
TILA,PWM,38,0.406865504,1.45,163.64,144.73,0.0098,0.1839,0.2761,0.0098,0.8361,0.0094,239.45,-1.8636,2
TILA,PWM,39,0.373552384,1.23,151.24,173.31,0.0023,0.153,0.0529,0.0001,1.0175,0.0075,243.91,-4.1285,2
TILA,PWM,40,0.403861625,1.86,140.35,160.53,0.0046,0.1658,0.1621,0.0064,0.8881,0.014,240.14,-3.3079,2
TILA,PWM,41,0.376451078,2.31,163.71,141.34,0.0681,0.221,0.163,0.0071,0.7134,0.0067,240.41,-0.5521,2
TILA,PWM,42,0.402963393,2.31,159.3,143.81,0.003,0.1894,0.1523,0.007,0.9086,0.0078,242.96,-2.7889,2
TILA,PWM,43,0.399407487,1.51,160.96,150.24,0.0458,0.214,0.2629,0.01,0.7865,0.0101,242.68,-1.6256,2
TILA,PWM,44,0.381854155,0,164.01,126.12,0.047,0.2418,0.0308,0,0.7882,0.0168,239.06,-3.5858,2
TILA,PWM,45,0.378400888,0.83,162.42,119.25,0.0212,0.2168,0.0499,0.0016,1.0115,0.0078,243.5,-2.6939,2
TILA,PWM,46,0.370050195,2.85,147.84,173.94,0.0867,0.2516,0.1477,0.0072,1.0241,0.011,243.12,-2.1074,2
TILA,PWM,47,0.387559809,0.53,153.11,137.91,0.0129,0.1786,0.172,0.0055,0.8733,0.0096,243.5,-2.0551,2
TILA,PWM,48,0.376793033,1.86,158.78,124.19,0.056,0.2026,0.0603,0.0013,1.019,0.0073,246.51,-2.9847,2
TILA,PWM,49,0.398574701,3.03,146.73,163.71,0.0034,0.1622,0.084,0.0012,0.6527,0.0169,221.22,-2.984,2
TILA,PWM,50,0.364552932,1.87,160.94,138.14,0.0757,0.2595,0.0097,0.001,1.0263,0.0104,241.08,-2.5102,2
TILA,PWM,51,0.411174785,3.4,164.31,128.16,0.1678,0.2784,0.0079,0.0001,0.7291,0.0225,228.77,-2.3765,2
TILA,PWM,52,0.378431373,1.59,149.99,159.54,0.0282,0.1841,0.0111,0,1.1098,0.014,242.84,2.1423,2
TILA,PWM,53,0.356022334,1.61,146.97,155.03,0.0395,0.2899,0.2934,0.0092,0.8936,0.0162,240.74,-2.0704,2
TILA,PWM,54,0.383747831,1.79,161.56,145.38,0.1424,0.3,0.0824,0.004,0.9756,0.0199,232.03,-0.2966,2
TILA,PWM,55,0.371396269,1.34,161.9,142.35,0.0035,0.1932,0.0652,0.0031,0.9036,0.0143,240.92,-0.986,2
TILA,PWM,56,0.409850484,3.74,164.33,140.84,0.1487,0.2959,0.1694,0.0064,0.6342,0.0144,239.14,-0.5426,2
TILA,PWM,57,0.383144857,4.35,149.19,153.13,0.2156,0.3267,0.1821,0.0067,0.8236,0.0402,232.47,-1.1036,2
TILA,PWM,58,0.334036383,0.8,153.41,145,0.0045,0.1878,0.1288,0.0054,0.7569,0.0215,228.58,-0.1802,2
TILA,PWM,59,0.395379365,2.1,141.28,154.43,0.0442,0.2427,0.0916,0.0045,1.0261,0.012,244.8,-2.8594,2
TILA,PWM,60,0.389197776,0.55,149.62,135.88,0.0032,0.3139,0.1162,0.006,1.0586,0.0148,238.53,-2.3482,2
TILA,PWM,61,0.366189112,1.55,159.93,142.24,0.0618,0.2268,0.0958,0.005,0.9597,0.0172,247.5,-2.3897,2
TILA,PWM,62,0.429973238,1.52,155.11,141.14,0.0586,0.2666,0.0682,0.0039,0.8185,0.0109,245.92,0.5459,2
TILA,PWM,63,0.362926547,0.93,174.71,127.95,0.0121,0.2214,0.0344,0,0.7877,0.016,236.12,1.2515,2
TILA,PWM,64,0.336926479,2.24,153.28,137.44,0.0707,0.1944,0.1473,0.0048,0.9624,0.0309,231.62,-1.4921,2
TILA,PWM,65,0.40773639,1.89,161.86,119.52,0.1159,0.2528,-0.0566,0,0.9819,0.0155,238.66,-2.5218,2
